name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tokyo,2025-02-22,46.9,34.9,40,44.6,27.7,35.8,15.1,36.3,0,0,0,snow,0,0,27.7,14.8,322.7,1019.9,28.8,13.9,179.2,15.5,7,10,2025-02-22T06:19:53,2025-02-22T17:29:15,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-23,50.2,33,41.2,50.2,26.3,37.1,11.5,31,0,0,0,rain,0,0,16.8,9.2,313,1020.7,28.7,13.9,205,17.7,8,10,2025-02-23T06:18:39,2025-02-23T17:30:12,0.84,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-24,49.3,32.6,40.6,44.7,27.1,35.9,16.3,38.2,0,0,0,,0,0,28.4,13.8,335,1018.1,8,14.6,202.9,17.6,7,10,2025-02-24T06:17:25,2025-02-24T17:31:09,0.87,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-25,53.2,34.5,44.4,53.2,30.1,41.9,23.4,44.6,0,0,0,,0,0,25.7,12.7,186.2,1023.2,1.2,14.1,217.6,18.8,8,10,2025-02-25T06:16:10,2025-02-25T17:32:06,0.91,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-26,62.3,40.4,50.9,62.3,38.9,49.2,23.6,36.3,0,0,0,,0,0,22.4,10.2,274.1,1015.4,16.6,14.1,211.7,18.3,7,10,2025-02-26T06:14:55,2025-02-26T17:33:02,0.94,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-27,59.6,40.7,50.4,59.6,36.8,48.9,26.2,40.6,0,0,0,,0,0,15,9.1,247.8,1019.6,2,13,217.5,18.8,8,10,2025-02-27T06:13:38,2025-02-27T17:33:58,0.97,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-02-28,61,43.3,51.7,61,40,50.8,34.7,53.1,0,0,0,,0,0,15.4,7.2,0.2,1019.6,26.7,10.2,187.3,16.1,7,10,2025-02-28T06:12:21,2025-02-28T17:34:53,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Tokyo,2025-03-01,66.5,45.2,55.7,66.5,42.5,55.4,40.5,59,0,0,0,,0,0,22.8,13.8,167.2,1019.1,9.7,9.5,211,18.3,8,10,2025-03-01T06:11:03,2025-03-01T17:35:48,0.04,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Tokyo,2025-03-02,68.9,46.8,58.2,68.9,44.6,57.8,41.6,57.2,0,0,0,,0,0,12.5,7.9,349.3,1014.2,35.7,9.1,188.8,16.1,7,10,2025-03-02T06:09:44,2025-03-02T17:36:43,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Tokyo,2025-03-03,57,35.4,43.6,57,29.4,39.9,40.5,89.3,0.799,100,54.17,"rain,snow",1.5,0.1,26.6,12.7,39.3,1016.7,95.4,6.6,15.7,1.4,1,10,2025-03-03T06:08:25,2025-03-03T17:37:38,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"47662099999,47671099999,47670099999,47686099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
